date,,Transportation,Electric Power,Commercial and Residential,Industrial,Recycling and Waste,High Warming Potential Gases,Agriculture and Forestry,cap,policy,view
2001,0,171.87,105.76,42.27,98.43,3.21,10.72,29.94,0,0,0
2002,0,175.01,122.91,41.13,96.34,2.99,11.27,30.12,0,0,0
2003,0,181.51,109.7,43.1,97.12,3.28,11.87,33.26,0,0,0
2004,0,179.47,113.65,41.47,95.29,3.42,12.57,31.67,0,0,0
2005,0,183.46,116.25,42.83,96.97,3.42,13.32,33.43,0,0,0
2006,0,186.34,108.89,41.18,96.04,3.69,13.9,33.67,0,0,0
2007,0,186.95,105.55,41.85,94.29,3.74,14.26,34.78,0,0,0
2008,0,187.38,114.97,42.07,91.88,3.71,14.27,33.63,0,0,0
2009,0,178.18,121.16,42.39,94.32,3.62,14.44,34.53,0,0,0
2010,0,173.34,103.58,42.61,83.6,3.42,14.76,33,0,0,0
2011,0,173.18,93.3,43.89,85.96,3.39,15.66,32.64,0,0,0
